Experimento,No.,Clase,max_b1,max_b2,max_b3,max_b4,max_b5,max_b6,max_b7,max_b8,min_b1,min_b2,min_b3,min_b4,min_b5,min_b6,min_b7,min_b8,coe_cor_min,coe_cor_prom,coe_cor_max,con_min_ene,con_max_ene_pro,con_max_ene,cen_con_min,cen_con_prom,cen_con_max,des_est_sum_pro,rol_inv_min,rol_inv_prom,rol_inv_max,sum_ene_pro,ent_min,ent_prom,ent_max,spre_min,spre_prom,spre_max,kur_min,kur_prom,kur_max,asim_min,asim_prom,asim_max,deca_min,deca_prom,deca_max,max_b1,max_b2,max_b3,max_b4,max_b5,max_b6,min_b1,min_b2,min_b3,min_b4,min_b5,min_b6,rms_min,rms_prom,rms_max,rol_min,rol_prom,rol_max,cen_min,cen_prom,cen_max,corre_min,corre_prom,corre_max,ent_min,ent_prom,ent_max,no_sismo,tremor,impacto
L_F_04_H_02,11,0,7.378213942,10.90505714,11.15824198,7.674904221,2.948654383,1.623084177,1.41441829,1.447652257,6.913895462,9.644810909,8.919631412,5.559936002,2.673189602,1.451259224,1.123491812,1.15944163,0,0.220206799,0.97897028,13,21.33333333,42,1286.101902,1307.310655,1344.185196,4.685083549,77,79.5,82,41.07664848,0.832301877,0.840934306,0.847724637,853.1233271,877.2628101,895.7649217,3.77459002,3.9525461,4.216943902,1.0968769,1.154452455,1.211204312,0.042044266,0.043773912,0.045665906,9.552801211,10.3134515,10.92812787,8.506714907,8.10581559,5.196300577,5.838390616,4.326944592,7.188254021,6.549957156,5.351245665,2.028512902,3.416412592,3.702995995,4.313858482,110,112.5714286,115,40.8619923,42.13090524,44.23456008,0.760541016,0.806634781,0.851288429,0.87452059,0.894808788,0.916389459,7,0,0
L_F_04_H_03,12,0,8.191734473,10.89424003,11.57291153,7.581706878,3.185189829,1.574085699,1.264964384,1.392085495,5.462185807,9.086414126,9.206376343,5.959094941,1.9210602,1.027894059,0.893026251,0.996464911,0,0.220190298,0.976987319,26,35.83333333,46,1284.728124,1295.388276,1321.180681,5.170401876,72,75.33333333,77,40.11680205,0.81878402,0.833174752,0.847009731,810.8021877,848.9424405,864.3825078,4.00898875,4.362147648,4.716974806,1.152223344,1.234568792,1.282232191,0.041593628,0.043394951,0.046020209,8.279993031,11.24359528,10.33678243,11.84532748,7.061469499,5.435934732,5.398595191,5.412238048,4.562541206,4.912067526,3.340187357,2.7243319,3.383092151,4.045909948,4.268800329,112,114.2857143,117,40.6915399,42.56727135,43.85032465,0.737067622,0.789214593,0.830840049,0.867910861,0.889605699,0.905245813,7,0,0
L_F_04_I_01,13,0,7.452137381,9.657678289,11.1009871,4.846226545,1.587519864,0.796254197,0.701964771,1.060541895,5.762786037,7.9481016,8.366028783,3.815876543,1.296349243,0.588797702,0.550089731,0.764100335,0,0.221194061,0.984309971,13,27.83333333,44,1154.943292,1174.858507,1189.768717,8.588439797,65,66.33333333,67,32.90676986,0.799407871,0.808303161,0.818766999,790.0932123,800.4341647,816.2998585,5.243561567,5.367385224,5.516749725,1.450368229,1.478619721,1.504607281,0.045369957,0.047169403,0.04891893,9.740488306,13.07810885,12.24404129,12.83957017,10.17889151,6.163183793,4.60728176,4.986629966,3.606802348,4.937092335,3.54200994,2.220360032,3.692792812,3.869266274,4.424276071,109,112.7142857,116,39.79959375,41.67401029,43.86004672,0.76134327,0.803865508,0.845254929,0.858696817,0.893717977,0.921122757,7,0,0
L_F_04_I_02,14,0,7.854414315,9.185330964,12.44885087,10.21906278,6.144023377,2.083043158,2.552362776,1.939588252,5.508786734,8.125900395,9.015810053,6.610307428,3.217645238,1.28293602,1.205062839,1.363955087,0,0.216855327,0.972241771,14,34.5,44,1363.824776,1419.819059,1480.258011,2.493027037,79,85,93,42.92935072,0.83798421,0.860381969,0.878617252,851.1504478,909.0814325,935.2042223,3.050234435,3.571294382,4.130197903,0.746134491,0.984996305,1.124963471,0.039407402,0.042073914,0.046838212,9.353628964,10.37294995,8.498053097,9.517002667,7.746832225,5.529989935,6.220558039,4.33270391,6.030227276,4.500074537,5.46648744,2.994971693,2.95010593,3.370868822,3.854785986,110,112.7142857,115,39.86420567,41.65400382,43.83863079,0.682833622,0.78834248,0.843272911,0.845846776,0.889292423,0.90787394,7,0,0
L_F_04_I_03,15,0,7.706839532,12.02334359,9.751582005,7.06172303,2.261324858,0.913500479,0.973565004,0.933118678,4.710731693,7.962516589,5.823294723,3.164083839,1.146557324,0.45769147,0.498242819,0.515613263,0,0.217817258,0.979493234,17,24.83333333,35,1126.685846,1180.027346,1226.618362,6.341221004,63,65.83333333,69,34.11318904,0.783525948,0.816832591,0.836686931,763.8762731,791.9810639,818.5532935,4.569035432,5.054371333,5.353303635,1.228638575,1.385441379,1.511779853,0.044925698,0.046300171,0.048509611,9.092128692,10.32208156,10.9529178,8.66489016,8.549315866,5.522678681,5.3976011,6.445757618,5.929978806,5.177130163,5.877092015,2.046988834,3.112474899,4.065335525,4.824659962,108,112,117,39.85647337,42.50576469,44.3469869,0.756390843,0.805012489,0.860951844,0.87089372,0.90021655,0.92290511,7,0,0
L_F_04_I_04,16,0,7.296068228,12.03652284,11.05094614,7.22243621,2.624042028,1.062796693,0.937324957,0.952711749,5.077914964,10.03871737,8.746313251,4.703412029,1.318513835,0.538477434,0.623158924,0.6214583,0,0.218940044,0.975871745,17,26.5,36,1137.846386,1195.107342,1248.457962,6.191093525,63,66,71,36.75326697,0.809151762,0.819091243,0.83550923,754.5356977,773.6819593,812.3224098,4.463431294,5.238976339,5.726895289,1.209679694,1.417832498,1.547070876,0.041349509,0.043914249,0.046116192,8.912017796,10.75828795,11.38691117,10.97761088,10.35453188,5.585520852,6.205077639,5.051169069,5.507358535,5.704949961,6.035948771,2.91109084,3.277527651,3.899148674,4.364272563,108,111.7142857,116,39.96924876,42.51929087,45.05214893,0.73818882,0.798219681,0.858632598,0.867431923,0.897317174,0.911241049,7,0,0
L_F_04_I_05,17,0,9.584445097,10.42953438,8.249421838,6.615929424,2.540766942,1.33425682,0.883990767,0.958013854,6.199475559,6.417893476,6.184624651,3.778469038,1.41662378,0.671689313,0.601950382,0.640685952,0,0.219037165,0.98128546,7,16.16666667,29,1119.842255,1176.304543,1224.98937,5.085084157,67,70.83333333,74,32.69610749,0.80373799,0.820411597,0.832043454,825.5280055,840.3836375,862.335654,4.095811633,4.396473532,4.754193948,1.159949139,1.264527491,1.368952967,0.047810618,0.052220615,0.056757836,10.04437515,10.79385807,9.796500148,8.013639188,8.036090246,5.038875296,6.00033181,5.055864685,5.627191515,4.608960638,5.335308884,2.993087196,2.715695123,3.640394677,4.370086527,110,113.1428571,116,40.50956593,41.89402113,42.90282579,0.773995949,0.8076857,0.848313767,0.879136177,0.894427703,0.908310815,7,0,0
L_F_04_I_06,18,0,6.822091554,11.86037225,9.172271525,4.588466323,1.577852283,0.759579674,0.681631331,0.732514038,2.717116491,8.008340102,5.063135589,3.003315434,0.984618546,0.35623131,0.343587679,0.326109219,0,0.215660183,0.973472314,19,25.16666667,29,1102.279834,1145.859322,1173.361826,8.092464637,62,63.66666667,66,29.05150646,0.756484791,0.785907717,0.810565108,698.3942047,745.3881887,779.5993841,5.272477731,5.703223882,6.076432313,1.490355044,1.549128408,1.636771849,0.040569494,0.043971413,0.046730581,10.34553682,11.00209642,12.92221577,10.41956035,9.11917009,5.337843287,6.365542179,5.747376319,4.625041065,5.672515107,4.917862172,2.327938835,2.822205476,4.012039844,4.740121306,109,112.4285714,119,41.54937074,42.88975126,45.31438447,0.736998199,0.78552547,0.832653461,0.875533593,0.895600645,0.909053906,7,0,0
L_F_04_I_08,19,0,6.733132565,10.89057959,11.97960496,7.153567446,2.396004631,1.348733765,1.579196817,2.120311153,5.213683192,8.831818015,7.894827091,5.739305792,1.617727202,0.792647665,0.954330089,1.250027044,0,0.220330739,0.975571389,7,20,36,1287.192036,1330.236175,1399.105043,6.925012716,76,80.16666667,89,37.60159652,0.820231429,0.831732094,0.840602692,867.1284348,885.609121,914.0548796,4.024705261,4.290971973,4.526697414,1.226511219,1.277534494,1.32525081,0.03714057,0.041107462,0.044411586,6.568403762,9.460080387,11.3197148,8.266566856,9.371298923,5.29602642,4.174729764,6.917752381,5.868097973,3.790216934,5.248455167,2.631783476,6.627947458,8.195959755,9.977709532,110,113.7142857,118,41.88389191,43.55936486,46.32714061,0.740266293,0.805065799,0.877256452,0.870277172,0.883940767,0.902786009,7,0,0
L_F_04_I_09,20,0,8.940280608,10.53786926,6.254978105,3.382085736,1.202510749,0.761016297,0.788760854,0.680336079,6.180856561,6.974196873,3.518080123,1.533626327,0.670423447,0.453016434,0.375423801,0.312161063,0,0.217150083,0.978085774,11,14.66666667,19,929.6514754,1008.904859,1128.388379,16.90206672,58,63,69,25.82135476,0.707279148,0.744114356,0.780091747,748.7367099,776.7957419,821.2587927,5.240236865,6.07058107,6.606215494,1.59245059,1.782057719,1.901192645,0.036278741,0.044024835,0.052626841,8.968030415,11.71492252,9.90292487,10.07663343,8.871776227,5.889213663,5.928742435,4.572328998,5.431740448,4.544083071,5.898992229,2.686709441,2.826354764,3.81169801,5.685439187,108,113.2857143,116,41.2684293,42.86158217,44.25380482,0.754831389,0.788210303,0.849024487,0.854529469,0.886718827,0.918062853,7,0,0
